ID,Condition,Mean Reward,Std Reward,Admitted/ep,Std Admitted,Redirected/ep,Std Redirected,Crit Unserved,Std Crit Unserved,Deaths/ep,Std Deaths,Overflow/ep,Std Overflow
A1,PPO baseline,450.91,65.64,139.5,7.7,27.8,9.6,273.2,246.9,0.0,0.0,394.9,23.1
A2,DQN baseline,546.92,64.88,180.4,9.1,0.6,1.0,360.4,177.7,0.0,0.0,379.7,22.9
A3,A2C baseline,355.76,96.10,141.1,7.6,0.0,0.0,680.2,438.6,0.0,0.0,418.1,22.4
B1,PPO lam=1.5,507.11,45.58,138.2,7.2,17.9,5.4,57.8,26.0,0.0,0.0,107.4,15.4
B2,DQN lam=1.5,655.77,47.64,186.0,5.9,0.0,0.0,78.4,26.8,0.0,0.0,80.9,17.3
B3,A2C lam=1.5,485.45,53.66,140.2,7.4,0.0,0.0,78.9,37.7,0.0,0.0,121.8,18.3
B4,PPO lam=4.5,334.23,84.21,123.1,8.2,69.0,9.0,757.2,397.6,0.0,0.0,666.2,26.4
B5,DQN lam=4.5,359.84,124.21,147.1,7.1,32.7,10.1,1184.1,687.5,0.0,0.0,673.4,28.9
B6,A2C lam=4.5,58.48,83.22,140.3,7.2,0.0,0.0,2583.2,361.2,0.0,0.0,707.5,29.9
B7,PPO lam=6.0,84.79,82.55,168.9,8.7,0.0,0.0,3252.0,228.1,0.0,0.0,980.5,35.5
B8,DQN lam=6.0,107.91,55.12,175.8,7.1,2.8,4.0,3198.0,252.7,0.0,0.0,969.4,37.4
B9,A2C lam=6.0,-39.87,57.96,141.3,7.1,0.0,0.0,3260.6,192.1,0.0,0.0,1004.4,36.9
C1,PPO equal-pen,273.27,46.16,135.0,6.9,40.3,8.7,233.5,185.4,0.0,0.0,387.8,23.3
C2,DQN equal-pen,344.87,62.13,172.9,6.6,1.3,1.8,534.3,347.3,0.0,0.0,388.8,21.9
C3,A2C equal-pen,199.83,77.86,141.1,7.6,0.0,0.0,680.2,438.6,0.0,0.0,418.1,22.4
C4,PPO no-pen,742.33,45.64,141.1,7.6,0.0,0.0,680.2,438.6,0.0,0.0,418.1,22.4
C5,DQN no-pen,886.88,37.32,175.5,6.7,0.0,0.0,530.5,372.4,0.0,0.0,384.4,23.5
C6,A2C no-pen,742.33,45.64,141.1,7.6,0.0,0.0,680.2,438.6,0.0,0.0,418.1,22.4
C7,PPO thrpt,671.53,46.27,141.2,7.5,0.0,0.0,720.3,527.2,0.0,0.0,417.6,21.8
C8,DQN thrpt,802.85,37.09,169.3,7.5,0.0,0.0,385.6,208.7,0.0,0.0,392.0,23.4
C9,A2C thrpt,676.11,41.97,141.1,7.6,0.0,0.0,680.2,438.6,0.0,0.0,418.1,22.4
D1,PPO reduced,239.14,41.73,117.0,8.6,66.5,7.8,312.9,92.9,0.0,0.0,376.0,22.8
D2,DQN reduced,241.67,61.63,117.6,9.8,66.6,9.3,387.1,268.9,0.0,0.0,375.1,23.8
D3,A2C reduced,-31.00,20.27,18.3,4.8,175.4,8.6,146.2,144.3,0.0,0.0,372.2,23.2
D4,PPO high-cap,551.84,65.04,152.4,10.0,33.7,10.1,176.7,191.3,0.0,0.0,376.2,22.1
D5,DQN high-cap,723.98,33.42,188.2,4.8,0.0,0.0,130.9,63.3,0.0,0.0,373.6,22.7
D6,A2C high-cap,491.75,78.55,157.5,8.9,0.0,0.0,421.3,234.9,0.0,0.0,401.4,23.6
E2,PPO 128x128,457.43,50.39,136.6,8.1,36.2,8.7,200.2,97.3,0.0,0.0,390.5,24.0
E3,PPO 256x256,444.53,44.56,137.6,6.4,29.8,6.6,256.1,127.3,0.0,0.0,393.8,22.8
F1,PPO lr=1e-3,464.97,40.69,133.6,7.4,46.9,7.8,139.6,46.6,0.0,0.0,382.6,24.6
F2,PPO lr=1e-4,355.76,96.10,141.1,7.6,0.0,0.0,680.2,438.6,0.0,0.0,418.1,22.4
F3,PPO n=512,432.44,50.12,131.7,7.3,41.7,9.4,231.1,147.3,0.0,0.0,388.3,24.6
F4,PPO n=2048,453.98,44.03,135.8,7.4,37.2,7.6,200.0,82.1,0.0,0.0,389.8,20.7
Greedy-1.5,Greedy λ=1.5,532.02,39.75,192.8,3.9,3.2,3.3,73.1,13.7,0.0,0.0,0.0,0.0
